"","author","title"
"10061","Ait-Khaled N","Access to inhaled corticosteroids is key to improving quality of care for asthma in developing countries"
"10062","Ait-Khaled N","Prevalence of symptoms of asthma, rhinitis and eczema in 13-to 14-year-old children in Africa: the International Study of Asthma and Allergies in Childhood Phase III"
"10063","Ait-Aissa S","Preliminary investigation of multi-biomarker responses in three-spined stickleback (Gasterosteus aculeatus L.) sampled in contaminated streams"
"10064","Aiuti A","Lentiviral vectors targeting WASp expression to hematopoietic cells, efficiently transduce and correct cells from WAS patients"
"10065","Ait-Sahalia Y","Volatility estimators for discretely sampled Levy processes"
"10066","Ait-Khaled N","Cochrane systematic review of directly observed therapy for treating tuberculosis: good analysis of the wrong outcome"
"10067","Ait-Ameur L","Evaluation of a gas chromatography/mass spectrometry method for the quantification of carboxymethyllysine in food samples"
"10068","Ait-Salah A","Spectroscopic and chemical imaging analysis of lithium iron triphosphate"
"10069","Ait-Ameur Y","An object-oriented based algebra for ontologies and their instances"
"10070","Ait-Ameur Y","OntoDB: It is time to embed your domain ontology in your database"
"10071","Ait-Amar H","Prediction of the pervaporation fluxes when the downstream pressure is changed for a blended PVA-PAA membrane with the total solvent volume fraction model (TSVF)"
"10072","Autes G","Orbital contribution to the magnetic properties of nanowires: is the orbital polarization ansatz justified?"
"10073","Ait-Si-Ali S","Post-translational modifications of histones H3 and H4 associated with the histone methyltransferases Suv39h1 and G9a"
"10074","Ait-Ameur Y","Formal validation of Java/Swing user interfaces with the event B method"
"10075","Ait-Kaci H","Electrical properties of short period InAs/GaSb superlattice"
"10076","Ait-Salah A","A new lithium iron phosphate LiFe2P3O10 synthesized at 600 degrees C from precursor obtained by wet chemistry"
"10077","Ait-Kaci H","Carrier concentration control of GaSb/GaInAsSb system"
"10078","Ait-Ameur Y","Domain ontologies: A database-oriented analysis"
"10079","Ait-Oufroukh N","Localization method for a rehabilitation mobile robot using visual and ultrasonic information"
"10080","Ait-Idir T","Reduced complexity iterative channel estimation with turbo equalization for multiuser space-time BICM signaling"
"10081","Ait-Oufroukh N","Development of a Localization Method for an Indoor Mobile Robot"
"10082","Ait-Bachir A","Reconciling Web service failing interactions. Towards an approach based on automatic generation of mediators"
"10083","Ait-Idir T","On the performance of SIC-MMSE turbo equalization with iterative channel estimation for UCCI-limited MIMO-ISI systems"
"10084","Ait-Aider O","Kinematics from lines in a single rolling shutter image"
"10085","Ait-Ameur Y","Software engineering of pervasive services"
"10086","Ait-Idir T","Low-complexity iterative multiuser detection and equalization for multipath MIMO coded systems"
"10087","Ait-Ameur K","Revisiting Gouy phase"
"10088","Ait-Khaled M","Genotypic Resistance Analysis of the Virological Response to Fosamprenavir-Ritonavir in Protease Inhibitor-Experienced Patients in CONTEXT and TRIAD Clinical Trials"
"10089","Ait-Mokhtar A","Experimental and theoretical investigation of non-isothermal transfer in hygroscopic building materials"
"10090","Ait-Mokhtar A","Physical modeling of the electrical double layer effects on multispecies ions transport in cement-based materials"
"10091","Aouate P","Effects of inadvertent atrioventricular block on clinical outcomes during cryoablation of the slow pathway in the treatment of atrioventricular nodal re-entrant tachycardia"
"10092","Ait-Ameur L","Characterization of the Maillard reaction in bread crisps"
"10093","Ait-Mouloud S","Gelatinous transformation of the bone marrow. A rare cause of pancytopenia in a cachectic patient with a past history of oeso-gastrectomy and colectomy"
"10094","Ait-Haddou R","Microstructure-Based Monte Carlo Simulation of Ca2+ Dynamics Evoking Cardiac Calcium Channel Inactivation"
"10095","Ait-Oufella H","Atherosclerosis and diabetes"
"10096","Aouati A","Rickettsia aeschlimannii Infection, Algeria"
"10097","Ait-El-Fquih B","On Bayesian Fixed-Interval Smoothing Algorithms"
"10098","Ait-Ameur K","Low cost adjustable axicon"
"10099","Ait-Aissa S","Extraction and purification procedures for simultaneous quantification of phenolic xenoestrogens and steroid estrogens in river sediment by gas chromatography/ion trap mass spectrometry"
"10100","Aita C","CARBON MINERALIZATION OF STRAW AND PIG MANURE WITH AND WITHOUT INCORPORATION IN SOIL"
"10101","Ait-Aissa S","Profiling of benzophenone derivatives using fish and human estrogen receptor-specific in vitro bioassays"
"10102","Aiuti A","B cell reconstitution in Wiskott-Aldrich Syndrome murine model upon lentiviral-mediated gene therapy"
"10103","Ait-Goughoulte M","Peptidase peptide signal and Hepatitis C virus"
"10104","Ait-Oufella H","Regulatory T Cells Control Post-Ischemic Neovascularization"
"10105","Ait-ameur L","Front face fluorescence spectroscopy and multiway analysis for process control and NFC prediction in industrially processed cookies"
"10106","Ait-Ameur K","Q-switch of a continuously pumped CO2 laser with a scanning coupled-cavity Michelson mirror"
"10107","Ait-Youcef H","Analytical evaluation of the Abbott ARCHITECT cyclosporine assay in comparison to LC/MS/MS and Dade Dimension Xpand"
"10108","Ait-Belgnaoui A","Brain glucagon-like peptide 1 signaling controls the onset of high-fat diet-induced insulin resistance and reduces energy expenditure"
"10109","Ait-Mohand H","Viral efficacy maintained and safety parameters improved with a reduced dose of stavudine: a pilot study"
"10110","Ait-Ameur K","Simple optoelectronic method for analysis of transverse mode structure of lasers"
"10111","Ait-Lounis A","Vaccination against Marek's disease reduces telomerase activity and viral gene transcription in peripheral blood leukocytes from challenged chickens"
"10112","Ait-Kaki B","Five glycosylated flavonoids from the antibacterial butanolic extract of Pituranthos scoparius"
"10113","Ait-Idir T","Space-time turbo equalization with successive interference cancellation for frequency-selective MIMO channels"
"10114","Ait-Ameur K","Improving both transverse mode discrimination and diffraction losses in a piano-concave cavity"
"10115","Ait-Ifrane S","Treatment of a relapsing HUS secondary to prolonged carriage of E.coli O157 : H7"
"10116","Ait-Aissa S","Monitoring of dioxin-like, estrogenic and anti-androgenic activities in sediments of the Bizerta lagoon (Tunisia) by means of in vitro cell-based bioassays: Contribution of low concentrations of polynuclear aromatic hydrocarbons (PAHs)"
"10117","Aout M","HLA-DRB3 homozygosity is associated with less organ dysfunction in septic shock"
"10118","Ait-Si-Ali S","Differential cooperation between heterochromatin protein HP1 isoforms and MyoD in myoblasts"
"10119","Ait-Moktar O","Ventricular arrhythmias during Tako-tsubo syndrome"
"10120","Ait-Amokhtar H","The dynamics of Portevin-Le Chatelier bands in an Al-Mg alloy from infrared thermography"
"10121","Ait-Oufella H","Defective Mer receptor tyrosine kinase signaling in bone marrow cells promotes apoptotic cell accumulation and accelerates atherosclerosis"
"10122","Aouit DA","Monitoring crack growth using thermography"
"10123","Ait-Ameur A","Value of relative cerebral blood volume measurement using perfusion MRI in glioma management"
"10124","Ait-Aissa S","Brain and gonadal aromatases as molecular and biochemical targets of endocrine disrupters in a model species, the zebralish (Danio rerio)"
"10125","Ait-Aissa S","Effect of (xeno)-estrogens on zebrafish P450c17 (C17,17 alpha-hydroxylase/17,20-lyase) mRNA and protein expression in gonadal tissue"
"10126","Autio K","Effects of laccase and xylanase on the chemical and rheological properties of oat and wheat doughs"
"10127","Ait-Si-Ali S","Triplex-forming oligonucleotide-orthophenanthroline conjugates for efficient targeted genome modification (Retracted article. See vol. 107, pg. 5261, 2010)"
"10128","Ait-Si-Ali S","ZEB-1 can repress SEMA3F semaphorin - a tumor suppressor gene in lung cancer"
"10129","Ait-Ali D","Tumor necrosis factor (TNF)-alpha persistently activates nuclear Factor-kappa B signaling through the type 2 TNF receptor in chromaffin cells: Implications for long-term regulation of neuropeptide gene expression in inflammation"
"10130","Ait-Ali D","Selenoprotein T is a PACAP-regulated gene involved in intracellular Ca(2+) mobilization and neuroendocrine secretion"
"10131","Ait-Khaled N","COPD management. Part II. Relevance for resource-poor settings"
"10132","Ait-Si-Ali S","Gene transcription of semaphorin SEMA3F is inhibited by ZEB-1, a transcription factor involved in the epitheliomesenchymatous transformation"
"10133","Ait-Youcef H","Analytical multi-site evaluation of the Abbott ARCHITECT Cyclosporine assay"
"10134","Ait-Aissa S","Study of the chemical derivatization of zearalenone and its metabolites for gas chromatography-mass spectrometry analysis of environmental samples"
"10135","Ait-Haddou R","Pythagorean-hodograph ovals of constant width"
"10136","Ait-Belgnaoui A","Increased faecal serine protease activity in diarrhoeic IBS patients: a colonic lumenal factor impairing colonic permeability and sensitivity"
"10137","Ait-Mokhtar A","Simultaneous heat and moisture transport in porous building materials: evaluation of nonisothermal moisture transport properties"
"10138","Ait-Ameur L","The health and technological implications of a better control of neoformed contaminants by the food industry"
"10139","Ait-Amar H","ACSAICHE 99120-Pervaporation - esterification coupling"
"10140","Autes G","Electronic transport in iron atomic contacts: From the infinite wire to realistic geometries"
"10141","Aouate Y","Who reads the electrocardiograms in emergency departments in France"
"10142","Ait-Amar H","Is the pH drop profile curvilinear and either monophasic or polyphasic? Consequences on the ultimate bovine meat texture"
"10143","Aiuti A","Comparative integration site profile analysis in 5 clinical retroviral gene therapy studies"
"10144","Ait-Yahia S","Expression of Langerin/CD207 reveals dendritic cell heterogeneity between inbred mouse strains"
"10145","Ait-Mokhtar A","Shortcomings of geometrical approach in multi-species modelling of chloride migration in cement-based materials"
"10146","Ait-Mokhtar A","Nonisothermal moisture transport in hygroscopic building materials: modeling for the determination of moisture transport coefficients"
"10147","Ait-Ameur K","Z-scan sensitivity enhancement using a binary diffractive optics"
"10148","Aiuti A","Long-term efficacy and safety of hematopoietic stem cell gene therapy mediated by lentiviral vectors in the murine model of Wiskott-Aldrich syndrome"
"10149","Aiuti A","Evidence for efficacy and safety of lentiviral mediated gene transfer in Wiskott-Aldrich syndrome"
"10150","Ait-Ameur K","Modelling of a Nd : YAG laser Q-switched by a scanning interferometric mirror"
"10151","Ait-Saidi A","Optimal functional parameter in the single functional index model"
"10152","Ait-Belghiti F","Epidemiology and burden of rotavirus diarrhea in day care centers in Lyon, France (vol 165, pg 905, 2006)"
"10153","Ait-Ameur K","Diffraction properties of opaque disks outside and inside a laser cavity"
"10154","Aoto T","Sub-natural linewidth spectroscopy on core-valence doubly ionized states of OCS"
"10155","Ait-Ahmed O","Repeat Length and RNA Expression Level Are Not Primary Determinants in CUG Expansion Toxicity in Drosophila Models"
"10156","Ait-Khaled N","Allergic rhinitis and its impact on asthma (ARIA) 2008 update (in collaboration with the World Health Organization, GA(2)LEN and AllerGen)"
